country_iso3,avg_score,total_events,avg_tone
USA,0.22671284460723629,54254,
SPM,0.07445780092068167,17042,
CHE,0.06391641969113755,15411,
IND,0.05127173873566263,12394,
FRA,0.04932962678727016,11931,
SWZ,0.04592027939738286,11049,
SRB,0.0398342387432544,9666,
GMB,0.039465377313501436,9578,
MEX,0.03501767487044534,8464,
BRA,0.033495132785863316,8153,
NIC,0.029328075834917797,7115,
ASM,0.024631029182713756,6001,
VIR,0.024055526937892247,4335,
PAK,0.022679948001220026,5504,
CAN,0.020721275064156282,5074,
ITA,0.02059613335669926,4982,
IRN,0.01996043327822314,4924,
SEN,0.01923231397435375,4633,
ARG,0.01817690372149578,3999,
BGR,0.01816432961175556,4107,
HKG,0.01766786142451837,4296,
MYS,0.017568547385666072,4219,
SYR,0.014811567837623107,3650,
KNA,0.014427344167642358,3337,
SAU,0.01441687562876954,3557,
LUX,0.014022497078724062,3118,
COL,0.01311620062472069,3088,
NLD,0.012682537219490525,3129,
BFA,0.01220485698458342,2163,
ARE,0.011980818339716343,2983,
BEL,0.011700387729786472,2844,
NZL,0.010942695658280837,2482,
ISL,0.008557649656532813,2122,
BGD,0.008464473389914037,1360,
AFG,0.00838247794914812,1975,
VEN,0.00778250801426109,1919,
SWE,0.00767408625256604,898,
ROU,0.0070609587363454,1459,
AUS,0.006744142188002831,1498,
GTM,0.006541214470494157,1159,
MLT,0.0061994973587679416,1145,
JEY,0.005953090668907872,1299,
MCO,0.005929477423330086,1090,
PER,0.005744178446971228,1277,
TWN,0.005421955846157185,1177,
GRC,0.005150878515089562,1305,
THA,0.004903641451931874,1151,
ESP,0.004643759876626082,729,
CYP,0.0042440022457372805,928,
MNP,0.00411304446215453,741,
IDN,0.004046526222874403,1023,
KEN,0.003776884612938484,1004,
EGY,0.0036862190934403806,945,
JOR,0.0036567993120647777,779,
NER,0.003593255234724231,151,
SGP,0.0033083824471483994,429,
MNG,0.003293345742692129,351,
CUB,0.0032318236650245996,766,
NRU,0.0032165069651903604,218,
NOR,0.0032100089713212885,756,
GHA,0.0031652904938286237,719,
JAM,0.0030837153932329595,604,
BHR,0.003008029661890985,619,
CUW,0.0029425082237111806,176,
ECU,0.002853495442527178,463,
LBY,0.0028319667698687217,667,
URY,0.0027690736730628693,391,
QAT,0.0027317119798516603,658,
ARM,0.0025876943422657576,356,
GAB,0.002456528358709108,157,
BIH,0.0024561034273202983,434,
NGA,0.0023822986461623226,361,
PAN,0.0023766412576128764,270,
MDV,0.002365196757174934,399,
WSM,0.0023491125943972836,165,
MLI,0.0020920895476759724,286,
MAC,0.0020704073700773245,413,
GIB,0.0020371210779538945,268,
POL,0.0020371210779538945,496,
CIV,0.001989883487740471,452,
SMR,0.0018916124295286164,53,
AGO,0.001874741861595251,346,
BLM,0.0017894710645555778,309,
TCD,0.001712048565514443,331,
FIN,0.001658425492949645,358,
SOM,0.0016187224727175727,335,
MAR,0.0015702808309227937,106,
ALB,0.001527840808465421,208,
LSO,0.0015219870122644042,188,
LAO,0.0014391601645246418,209,
LIE,0.001318137168087814,250,
UGA,0.0012670753096551716,278,
TZA,0.0012546079019779542,299,
NPL,0.0011978577125047244,246,
MUS,0.0010975187202929898,225,
ATG,0.001091621843460526,206,
SVN,0.0010468538872818623,122,
BRB,0.0010460892021925403,188,
KAZ,0.0010411952176208794,228,
MKD,0.0010295128028369144,156,
CAF,0.0010282611155386324,176,
UZB,0.0009667693251306619,143,
HUN,0.0009346790828259044,202,
BOL,0.0009239401610391981,144,
MRT,0.0009140927913895681,61,
ZAF,0.0009107129524970352,199,
ETH,0.0008907841272773301,215,
BLR,0.0008536507374282986,79,
BTN,0.0008488004491474561,45,
PNG,0.000848800449147456,9,
MHL,0.000797134334851524,50,
DOM,0.0007796389310687745,58,
MDG,0.000758927460414196,72,
GUY,0.0007349613300853266,177,
BRN,0.0007275432421263909,116,
MDA,0.0007124357868254057,125,
GGY,0.0006651823928012717,97,
NIU,0.0006490826964068782,133,
FSM,0.0006111363233861683,19,
RWA,0.0005381074545538589,95,
COD,0.0005192661571255025,90,
BMU,0.0004947294046459458,121,
CMR,0.00047745025264544404,109,
MOZ,0.0004603663453003151,99,
HRV,0.00045623024141675764,107,
GLP,0.00045269357287864323,5,
FJI,0.00045269357287864323,85,
ERI,0.00044622652183751974,58,
SLE,0.000438090554398687,102,
GBR,0.0004203583176730258,34,
KGZ,0.00039233442982815743,71,
STP,0.0003819602021163552,25,
DJI,0.0003621548583029146,69,
CPV,0.0003395201796589824,21,
FRO,0.0003395201796589824,6,
KOR,0.0003017957152524288,13,
GNQ,0.00028895334439062333,67,
GRL,0.0002872863058652928,37,
PYF,0.00027161614372718594,7,
VCT,0.0002546401347442368,11,
TTO,0.00022634678643932161,8,
TON,0.00021729291498174874,33,
COG,0.00021341268435707465,46,
PSE,0.0001810774291514573,19,
CHN,0.0001508978576262144,11,
TUN,0.00014761746941694887,28,
LTU,0.0001273200673721184,19,
SYC,8.48800449147456e-05,9,
ATA,5.22338737936896e-05,28,
IOT,0.0,2,
TUV,0.0,4,
NCL,0.0,3,
REU,0.0,5,
TKL,0.0,2,
NFK,0.0,1,
TLS,0.0,2,
